OBJECTID,DATE,Facility_Type,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_George_s,Queen_Anne_s,Somerset,St_Mary_s,Talbot,Washington,Wicomico,Worcester
70,05/13/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,43,0,0,0,0,0,1,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0
71,05/13/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,71,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,05/13/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,05/20/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",31,186,479,321,0,0,72,17,23,2,154,0,58,56,17,657,347,5,0,51,1,7,14,21
74,05/20/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",81,459,1142,727,0,1,224,112,45,0,262,0,173,146,82,1449,798,2,1,94,0,26,70,45
75,05/20/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,166,23,98,0,0,9,0,0,3,1,0,0,16,0,2,35,0,5,2,0,4,1,0
76,05/20/2020 10:00:00 AM,Patients: State and Local Affected Facilities,1,0,49,0,0,0,1,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0
77,05/20/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,74,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,05/20/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,05/27/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",35,220,563,385,0,0,90,17,28,3,168,3,62,71,22,725,388,6,0,56,1,11,50,25
80,05/27/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,444,1247,829,0,1,247,112,45,0,270,4,174,163,87,1476,905,7,1,124,2,32,87,57
81,05/27/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,178,24,103,0,0,19,0,0,3,1,0,0,18,0,1,36,0,5,2,0,5,0,0
82,05/27/2020 10:00:00 AM,Patients: State and Local Affected Facilities,1,0,50,0,0,0,4,0,0,0,0,0,0,15,0,0,20,0,0,0,0,0,0,0
83,05/27/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,107,0,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,05/27/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,06/03/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",37,148,638,453,3,0,97,17,28,5,191,3,32,97,23,786,467,12,0,84,2,18,41,28
86,06/03/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",91,335,1300,805,1,1,284,112,45,3,281,4,85,201,94,1536,1013,12,1,198,4,48,90,64
87,06/03/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,229,6,111,0,0,32,0,0,3,0,0,0,3,0,1,36,0,3,2,0,10,0,3
88,06/03/2020 10:00:00 AM,Patients: State and Local Affected Facilities,1,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
89,06/03/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,137,0,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,06/03/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,06/10/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",38,131,726,447,3,0,121,28,24,8,177,3,0,117,13,738,423,17,1,90,3,28,47,31
92,06/10/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",97,342,1387,851,1,1,311,101,44,5,251,4,0,231,38,1279,929,14,0,201,5,58,100,67
93,06/10/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,232,7,130,0,0,33,0,0,0,0,0,0,3,0,0,36,0,3,2,0,11,0,10
94,06/10/2020 10:00:00 AM,Patients: State and Local Affected Facilities,1,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
95,06/10/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,181,0,51,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
96,06/10/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,06/17/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,126,610,444,0,0,150,29,55,6,188,3,1,94,14,679,205,20,0,86,3,11,45,31
98,06/17/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,326,1164,804,0,0,365,101,141,8,263,4,0,211,39,1145,527,38,0,201,5,30,104,67
99,06/17/2020 10:00:00 AM,Staff: State and Local Affected Facilities,3,231,7,137,0,0,34,0,0,0,0,0,0,0,0,0,37,0,3,2,0,13,0,10
100,06/17/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
101,06/17/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,1,326,0,58,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
102,06/17/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,06/24/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,97,499,347,0,0,104,0,52,9,114,0,0,56,13,544,131,25,0,92,2,27,46,35
104,06/24/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,244,931,660,0,0,293,0,141,8,146,0,0,104,41,944,327,43,0,205,5,64,133,68
105,06/24/2020 10:00:00 AM,Staff: State and Local Affected Facilities,4,234,8,147,0,0,36,0,0,0,0,0,0,0,0,0,37,0,3,2,0,9,0,0
106,06/24/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
107,06/24/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,4,340,0,90,0,0,47,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0
108,06/24/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,07/01/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,109,418,310,0,0,104,0,15,9,94,0,1,59,13,475,123,26,0,97,3,27,7,35
110,07/01/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,243,718,586,0,0,293,0,34,8,143,0,0,121,41,801,288,46,0,205,5,70,25,68
111,07/01/2020 10:00:00 AM,Staff: State and Local Affected Facilities,5,235,6,170,0,0,37,0,0,0,0,0,0,17,0,0,37,0,3,2,0,11,0,0
112,07/01/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,8,0,0,0,7,0,0,0,0,0,0,21,0,0,24,0,0,0,0,0,0,0
113,07/01/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,12,361,0,108,0,0,58,0,0,0,0,0,0,0,0,0,0,0,5,0,0,39,0,0
114,07/01/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,07/08/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,51,427,268,0,0,60,0,52,9,98,8,3,74,14,361,127,26,0,0,3,23,45,36
116,07/08/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,115,721,449,0,0,178,0,120,8,191,4,1,139,44,593,292,52,0,0,5,67,108,68
117,07/08/2020 10:00:00 AM,Staff: State and Local Affected Facilities,5,236,7,175,0,0,20,0,0,0,0,0,0,27,0,0,37,0,0,0,0,11,0,0
118,07/08/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,8,0,0,0,0,0,0,0,0,0,0,37,0,0,24,0,0,0,0,0,0,0
119,07/08/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,364,144,144,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
120,07/08/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,07/15/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",36,57,535,225,0,1,42,0,52,10,107,10,33,98,14,457,116,26,0,0,3,31,50,36
146,07/15/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,158,931,487,0,0,164,0,122,9,197,6,88,147,44,676,269,49,0,0,5,70,120,68
147,07/15/2020 10:00:00 AM,Staff: State and Local Affected Facilities,5,240,9,179,0,0,20,0,0,0,0,0,0,28,0,0,0,0,0,0,0,17,0,0
148,07/15/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,8,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
149,07/15/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,364,146,146,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
150,07/15/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,07/22/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",1,149,655,474,0,1,89,1,67,10,107,10,32,96,14,544,282,26,0,0,5,34,50,36
158,07/22/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,272,1020,782,0,0,231,0,130,9,199,6,88,153,48,863,602,49,0,0,5,70,121,68
159,07/22/2020 10:00:00 AM,Staff: State and Local Affected Facilities,5,241,27,189,0,0,40,0,0,1,0,0,0,27,0,4,0,0,0,0,0,17,0,0
160,07/22/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
161,07/22/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,366,155,155,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
162,07/22/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
163,07/29/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",41,201,746,678,1,0,119,2,72,0,112,10,38,127,14,548,328,30,0,0,6,15,47,3
164,07/29/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",88,360,1212,1072,0,0,278,0,139,0,178,6,90,183,49,816,689,49,0,0,5,3,97,0
165,07/29/2020 10:00:00 AM,Staff: State and Local Affected Facilities,7,248,33,202,0,0,41,0,0,1,0,0,0,31,0,4,43,0,0,0,0,18,0,0
166,07/29/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,0,0,1,0,0,0,43,0,0,27,0,0,0,0,0,0,0
167,07/29/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,367,159,159,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
168,07/29/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
181,08/05/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",41,152,791,627,5,0,47,4,77,0,198,10,74,133,0,570,406,0,0,0,5,10,46,4
182,08/05/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",89,262,1261,910,1,0,168,0,140,0,302,6,180,168,0,815,834,0,0,0,8,3,97,1
183,08/05/2020 10:00:00 AM,Staff: State and Local Affected Facilities,7,263,34,207,0,0,42,0,0,1,0,0,0,35,0,4,43,0,0,0,0,13,0,0
184,08/05/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,52,0,0,0,7,1,0,1,0,0,0,44,0,0,27,0,0,0,0,0,0,0
185,08/05/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,367,172,172,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
186,08/05/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,08/12/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,164,837,733,3,0,18,34,7,0,144,21,76,183,0,502,151,0,0,0,10,9,46,2
212,08/12/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,342,1327,1112,1,0,123,101,1,0,199,10,179,250,0,753,262,0,0,0,9,0,97,5
213,08/12/2020 10:00:00 AM,Staff: State and Local Affected Facilities,6,272,41,245,0,0,44,0,0,0,2,0,0,35,0,0,43,0,0,0,0,13,0,0
214,08/12/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,53,0,0,0,7,0,0,0,0,0,0,44,0,0,27,0,0,0,0,0,0,0
215,08/12/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,368,188,188,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
216,08/12/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,08/19/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,125,776,551,0,0,24,33,35,0,125,18,8,136,0,482,211,31,0,0,13,36,47,9
236,08/19/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,203,1246,853,0,0,76,101,29,0,174,10,3,238,0,768,320,49,0,0,12,67,98,10
237,08/19/2020 10:00:00 AM,Staff: State and Local Affected Facilities,6,249,47,285,0,1,44,0,0,0,5,0,0,28,0,5,43,0,0,0,0,15,0,0
238,08/19/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,53,1,0,0,7,0,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,0
239,08/19/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,370,196,196,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
240,08/19/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,08/26/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,134,663,504,0,0,8,31,18,0,133,23,8,118,4,543,330,31,0,0,14,36,48,22
242,08/26/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,216,990,735,0,0,9,101,35,0,175,10,1,194,0,858,607,49,0,0,12,68,98,22
243,08/26/2020 10:00:00 AM,Staff: State and Local Affected Facilities,7,265,49,294,0,2,45,0,0,0,8,0,0,29,0,0,43,0,0,0,0,20,0,12
244,08/26/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,55,1,0,0,7,0,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,0
245,08/26/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,371,204,204,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
246,08/26/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,08/26/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",3,134,663,504,0,0,8,31,18,0,133,23,8,118,4,542,330,31,0,0,14,36,48,22
248,08/26/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",1,216,990,735,0,0,9,101,35,0,175,10,1,194,0,858,607,49,0,0,12,68,98,22
249,08/26/2020 10:00:00 AM,Staff: State and Local Affected Facilities,7,265,49,294,0,2,45,0,0,0,8,0,0,29,0,0,43,0,0,0,0,20,0,12
250,08/26/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,55,1,0,0,7,0,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,0
251,08/26/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,371,204,204,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
252,08/26/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,09/02/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,138,542,618,4,2,15,31,25,12,72,23,79,86,5,606,255,0,0,0,15,45,49,21
254,09/02/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,272,798,930,0,6,91,101,39,10,111,10,181,152,0,983,410,0,0,0,12,69,99,29
255,09/02/2020 10:00:00 AM,Staff: State and Local Affected Facilities,7,266,52,293,0,2,20,0,0,0,8,0,0,29,1,0,43,0,0,0,0,35,0,12
256,09/02/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,57,0,0,2,0,0,0,0,0,0,0,41,0,0,27,0,0,0,0,0,0,1
257,09/02/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,372,207,207,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
258,09/02/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,574,196,0,0,0,18,47,49,55
260,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,763,291,0,0,0,13,68,99,100
261,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
262,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
263,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
264,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,574,196,0,0,0,18,47,49,55
266,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,763,291,0,0,0,13,68,99,100
267,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
268,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
269,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
270,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,610,196,0,0,0,18,47,49,55
272,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,844,291,0,0,0,13,68,99,100
273,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
274,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
275,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
276,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,09/16/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
278,09/16/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,801,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
279,09/16/2020 10:00:00 AM,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
280,09/16/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,62,0,0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
281,09/16/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,379,226,226,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
282,09/16/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,09/16/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
284,09/16/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,753,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
285,09/16/2020 10:00:00 AM,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
286,09/16/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,62,0,0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
287,09/16/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,379,226,226,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
288,09/16/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,09/16/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
290,09/16/2020 10:00:00 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,753,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
291,09/16/2020 10:00:00 AM,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
292,09/16/2020 10:00:00 AM,Patients: State and Local Affected Facilities,0,0,62,0,0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
293,09/16/2020 10:00:00 AM,Inmates: State and Local Affected Facilities,0,379,226,226,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
294,09/16/2020 10:00:00 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,09/16/2020 10:00:00 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
